Sentence,Emotion
또 선거 운동이야? 선거 운동을 하는 건 좋은 데 꼭 저렇게 시끄럽게 해야 돼? 요즘에는 조용한 선거 유세가 늘고 있다던데.,혐오
"네 말이 맞긴 한데, 저런 식의 선거 유세는 오히려 사람들에게 반감만 살 걸.",혐오
그럴 수 있을까요? 다음 상대팀이 너무 잘해서요.,공포
책상요? 책상을 사지 않고 만들어요?,놀람
네. 좀 큰 책상을 갖고 싶어서 시작했는데 아주 재미있어요. 그래서 다음에는 식탁도 만들어 보려고요.,행복
그런 걸 할 줄 알아요? 나는 작은 상자도 못 만드는데…,슬픔
"네, 연락하려고 했는데 주문한 그릇이 왜 이렇게 안 와요?",분노
원하시는 색깔이 가게에 없어서 공장에 주문을 했는데요. 생각보다 늦어져서요. 죄송합니다.,슬픔
"네, 일정은 모두 짰고 장소도 곧 확정될 것 같아요. 그런데 특강해 주실 분을 못 구해서 걱정입니다.",공포
넌 좋겠다. 혼자 살아서. 나도 독립하고 싶은데 아빠가 너무 보수적인 분이라서 못하게 하셔. 스무 살이 넘었는데.,슬픔
가깝긴 하지만 교통이 불편해서 시간도 많이 걸리고 나도 나만의 공간을 가지고 싶단 말이야. 근데 아무리 말씀을 드려도 소용없어.,슬픔
네. 근데 너무 앞자리라서 목이 좀 아팠어요. 영화관도 불편한 자리는 값을 좀 깎아줘야 되는 거 아니에요?,혐오
지금 시간에 마라톤을 해요? 평일 아침이라 차도 많은데 길이 많이 막히겠네요.,놀람
기숙사 신청 날짜를 착각해서 신청을 못했는데 어쩌지?,공포
지금까지는 좋은 것 같습니다. 주문한 음료가 준비되면 이전과는 다르게 진동벨이 아니라 이름을 불러서 알려주니까 고객들이 친근하게 느끼는 것 같습니다.,행복
빵을 직접 만들어요? 재미있겠네요.,놀람
정말 재미있어요. 만드는 방법도 생각보다 어렵지 않고요.,행복
전...처..처음인데.,공포
왜 자꾸 욕을 하고 그러세요. ,놀람
내가 지금 욕 안하게 생겼어,분노
"또 시작하시네..저 정말 서운합니다.,",슬픔
우리집 호적정리부터 해라 이 데쳐 죽일 놈아,분노
제가 시금칩니까? 데치시게?,놀람
나 자기 마누라 찾아가서 담판 질거야,분노
"지금, 누굴 찾아가 담판을 져",놀람
나랑 그동안의 관계 다 말하고. 이혼해 달라고 할거야,분노
이 시대에 뽀뽀 몇 번 한 것도 책임져야 돼냐?,놀람
"아무튼 난 절대 자기 포기 못해, 절대!!!",분노
니가 내 심정을 알기나 하냐?,분노
이 사회가 어른들을 너무 우습게 본다.,분노
그럼 니가 나를 우습게 보든지.,분노
누구야?,놀람
야 괜찮다.,놀람
아서라! 엄청 센 여자야. 코뼈 나간 놈들이 부지기수야.,공포
십자수랑 인형들 다 어디갔어요. 없네요?,놀람
그걸 왜 갖다 버려요!,분노
정리를 잘 하던가 쓰레기처럼 방구석에 굴러다니는데,혐오
어디에다 버렸어요!!,분노
다음부터 내 물건에 손대지 마세요,분노
마누라가 당신 이러고 다니는 거 알아요?,혐오
그럼 이런 것 때문에 이혼 당했군요.,혐오
그래도 야비해서 싫어!,혐오
아니..왜 내가 야비해요,놀람
아니 무슨 머리 미는데 만오천원씩이나 받어?,놀람
아직도 여기사냐?,혐오
한동안 안 보이길래 이사간지 알고 저번에 잔치 했었는데,혐오
나잇살이나 들어가지고 친구한테 이 자식 저자식 하면 안 쪽팔리냐?,혐오
누가 니 친구야 임마.,분노
나도 니 친구 하기 싫어.,혐오
근데 이 자식이...,분노
"어우 자식, 무식하게 힘만 쎄 가지고...",혐오
왜요? 무슨 일 있었어요?,놀람
그 놈의 촛불을 꼭 켜야 밥을 먹겠어?,분노
운치는 꼭 제사상 같구만.,혐오
당신이야말로 말을 꼭 그렇게 하셔야 겠어요?,분노
한번이라도 편안하게 밥 좀 먹자. 이게 다 뭐야..,혐오
기다리세요. 당신은 항상 밥상 앞에서만 품위를 잃어요.,혐오
"아니 지가 지금, 맘에 들고 안 들고 따질 나이냐구요,",분노
어우--내가 못살어...,분노
괜찮아..낫긴 다 나았는데 기분 나빠서 이러고 있는 거야.,분노
네?,놀람
어떤 인간인지 내 잡히기만 해 봐라..,분노
좀 더 놀다가 가,슬픔
"나 늦었어, 빨리 가서 저녁해야 돼",공포
그래도 오랜만에 왔는데.,슬픔
어머니 왜 저러셔?,놀람
형이 뭐 또 사고 쳤어?,놀람
툭하면 내가 사고치는지 알어?,분노
아 왜,분노
아니 엄마가 화를 안 푸시잖아,분노
아니 정리할게 뭐가 있어..우리가 그만큼 잘못했다고 싹싹 빌었으면 됐지.,분노
내 이 자식을 그냥..너 거기서...,분노
왜 대답을 안해!,분노
아우 귀 아퍼요. 왜 소리를 지르고 그러세요.,놀람
"내가 소리 안 지르게 생겼어, 사람이 출근을 하면 쳐다를 보고, 사람이 말을 하면 대꾸를 해야 할 거 아냐",분노
무...무슨 기분 나쁜 일 있으셨어요?,놀람
왜 오늘 아침에는 밥하러 안 왔어?,분노
늦...늦게 일어났어요.,놀람
밤에 잠 안자고 뭐 했는데.,분노
너무 기분 나빠서 잠을 잘 수가 없었어요.,분노
왜 기분이 나뻐?,분노
어제 선생님이랑 등산 갔다가 선생님이 저 중간에 버리고 가셨잖아요.,분노
왜요? 소장님?,놀람
어우 그러시면 저야 감사하죠.,행복
아 그래서 저보고 지금 어쩌라는 말씀입니까?,분노
아니 전화를 좀 친절하게 받으세요.,분노
그러니까 하시고 싶은 말씀의 요지가 뭡니까? 빨리 말씀하세요.,분노
이제...저 물고기까지 봐야 합니까?,혐오
그러니까 그 사정을 제가 왜 일일이 다 봐줘야 하냐구요.,분노
그만 찾아오라고 했잖아. 당신 정말 왜 그래?,분노
아이들하고 저는 어떻게 살라고요,슬픔
놔! 이거! 니들이 어떻게 살던말던,분노
제발 한번만 다시 생각해봐요,슬픔
근데 넌 대학 진짜로 떨어졌냐?,놀람
어...그러니까 재수학원 다니고 있지.,슬픔
참..근데 머리는 왜 그러냐?,놀람
엄마가...공부하라고..,슬픔
그래도 넌 좋겠다.,슬픔
어머 진짜 이쁘다. 엄마 감각은 정말 알아줘야 한다니까,행복
아버지가 그렇게 다 드시면 어떡해요. 한번에 고기 한점씩만 드세요,혐오
왜 애비가 먹는게 아깝냐,분노
아이 그게 아니라 밤에 많이 드시면 안되니까아 그러죠.,공포
핑계대기는,분노
아니 이거 뽀뽀 하는 물고기잖아요,놀람
지금 무슨 말씀 하시는 거예요?,놀람
아니 이상하잖아요. 뽀뽀하는 물고기면 뽀뽀를 해야죠.,놀람
지금 내 물고기를 상대로 무슨 상상을 하시는 거예요?,혐오
아니 물고기가 뽀뽀를 안하잖아요,놀람
아저씨! 혹시 밤에 야동봐요?,혐오
더럽게 자기 먹던걸 주면 어떡해,혐오
스탠드 켜고 봐요. 눈 나빠져요.,공포
그 남자는 안된다고 제가 말했죠?,혐오
싫습니다. 난 할말 없어요.,혐오
아 싫다니까요,혐오
혼인빙자 간음죄나 사기죄나 둘 중 하나로 감옥 들어가면 되겠네.,혐오
따라오지 말아요.,혐오
거짓말 하지 말아요. 한 두 번 이야. 이번엔 나한테 수작 걸어요.?,혐오
이거 오늘 9시 뉴스에 나가면 풍파가 한번 일겠는데? 괜찮겠어?,공포
그래도 종교 단체들은 장난이 아니야! 무시 못해!,공포
선량한 사람들을 농락하는 이런 사이비 종교들은 뿌리 뽑야 합니다,혐오
하하...아무튼 감사합니다.,행복
달뜨는 거요?,놀람
꼴에 의사였어요.?,혐오
꼴에 의사? 꼴에 의사? 이봐요...정말 말을 해도 꼭 그런식으로 하실 겁니까?,분노
당신이 가요!,분노
당신이 가라고!,분노
왜 자꾸 나보고 가라고 그래요,분노
난  신문보잖아,분노
 난 작업중이잖아요 자꾸 말 시키지 마요. 헷갈리잖아요,분노
근데 이 사람이 정말!,분노
"우리 아버지 뭐 하시는 거야,  진짜?",놀람
안 피곤해요?,공포
너무 힘드실것 같아요,공포
아무튼 두 분 감사해요.,행복
진짜죠? ,놀람
웃기지마! 지금 어디야,분노
안 나오겠다는 거잖아!,분노
아니 그 뜻이 아니구요. ,놀람
왜 늦게 나오겠다는 건데?,분노
몸이 좀 아파서요,슬픔
아우 어머니 왜 그러세요?,놀람
어머니..말씀을 꼭 그렇게 적나라하게 하셔야…,슬픔
아니 이게 정말 몇 년만이야?,놀람
아니 그런데 어떻게 이렇게 하나도 안 변했니?,놀람
아주머니도 여전히 아름다우세요,행복
그 자식이 왜 너한테 말을 붙여?,분노
그 자식 음흉하네!! 왜 너보고 놀러오래!!,분노
내가 꼭 말을 해야 됩니까?,분노
네?,놀람
나도 말하기 싫으면 안 할수도 있잖아요.,분노
왜 그렇게 웃어요? 사람 기분 나쁘게,분노
너무 웃겨서요. 하하하하.,행복
뭐가 웃겨요?,분노
너무 안 어울려요...으하하하,행복
진짜 .웃기는 아가씨네,혐오
"뭐? 스튜디오, 거긴 당신이 왜 가 있어?",놀람
뭐어? 응원? 하여간 보내라는 시집은 안 보내고 이젠 응원까지해애?,혐오
쓸데 없는 말 하려면 끊어요. 나 지금 바빠요!,분노
아니 다음주 제사를 왜 벌써 이야길 해요.,혐오
내가 알아서 할께요,분노
갑자기 제사 이야기를 하고...이상한 사람이야...,혐오
네,행복
오늘 토요일이잖아요. 주말은 그냥 무조건 좋은 거 아닌가요?,행복
전 목욕갔다가 쇼핑갈려구요!,행복
뭐 임마!,분노
무슨 일이야?,놀람
너 알거 없어 자식아!,분노
왜 그러는데?,놀람
알거 없다고 했잖아 임마. 이 새끼는 꼭 남 일에 끼여서 난리야,분노
내가 좁은 골목길에서 오토바이 타지 말라고 했어 안 했어!,분노
이 녀석이! 어디서 시치미를 떼,분노
눈은...왜 다쳤어?,놀람
어디 부딪혔어?,놀람
왜 결혼 안했어?,놀람
그게 좀..그렇게 됐어..,슬픔
내가 그걸 어떻게 아냐?,분노
왜 화를 내세요.?,놀람
배고프니까 그렇잖아.,분노
아이고 내가 장가를 가야겠다. 내가 장가를 가야 겠어. 툭하면 며느리가 시애비 밥을 굶기니 이거 원...,분노
나는  정말 이렇게 먹고는 못살아,분노
아버지 그만 좀 드세요. 익었는가 보신다면서 그렇게 다 드시면  어떡해요?,혐오
임마! 그럼  여기다 물 붓고 하나 더 끓이면 되지. 인석은 꼭 지 엄마를 닮아서..잔소리가 많아요.,분노
아! 아버지 그만좀 드세요,분노
이 자식아! 술만 먹으면 왜 지랄이야,분노
근데 이년이! 너 진짜 죽고 싶어,분노
이거 안놔! 이거 놔 이자식아!,분노
미친놈의 여편네 같으니리라고...,분노
이제 그 일에 관해서는 그만 말하죠,분노
아니...사람이 사과를 하잖아요. 그럼 좀 그냥 들으세요,혐오
사과 안해도 되니까 이제 그만 좀 말하라구요!,분노
미안하다구요,슬픔
정말 이럴거야?,분노
누구 맘대로 이번 주까지만 일해!,분노
내가 왜 찾어!,분노
제가 그만 둘 거니까요!,분노
누구 맘대로 그만 둬?,분노
그만하세요.,혐오
많이 드셨어요.,혐오
국장님!,놀람
어! 자네,놀람
뭘 그렇게 봐요!,놀람
정말! 소아과 최고 권위자를 소개 시켜 줄거죠.?,놀람
이건 정말 중요한 문제란 말이예요,놀람
이건 엄청난 소송이예요.!,놀람
말도마! 어제 얼마나 술을 드셨는지 일어나지도 못해,혐오
왜 그렇게 술을 드셨대요?,놀람
나이가 몇 살인데 한글도 제대로 못써!,분노
니 동생은 잘 하잖아!,분노
한글하고 공부하고 무슨 상관이야 인석아!,분노
그만해요. 난 술 취해서 휘청거리는 거 딱 질색이예요.,혐오
싫다니까요...,혐오
천천히 마셔. 그렇게 빨리 마시면 취해!,공포
무슨 일이 있어요?,놀람
엄마는 머리에 쓴것 좀 벗으세요. 창피해 죽겠어요,혐오
아까부터 자꾸 왜,분노
나 창피해!,혐오
떠들지 말고 빨리 빨리들 안와,분노
어우 내가 우리 엄마 때문에 정말 못 살아,혐오
쪽팔린다. 그냥 니네끼리 해라.,혐오
그런게 어딨어! 빨랑해!,분노
아 싫어! 큰 형님 이니까 봐줘,혐오
큰 형님 좋아하고 있네. 다같이 늙어가는 처지에,분노
아 튀기잖아!,혐오
그냥 넣어임마! 익으면 다 김치야!,분노
아우 정말..비켜봐. 내가 버무릴테니까,혐오
아 제대로 하고 있잖아,분노
이걸 왜 제가 갖다 줘요...,놀람
저도 오늘 정말로 중요한 데이트 약속 있다니까요.,슬픔
니가 여자가 한둘이야. 오늘쯤 바람 맞힌다고 여자가 없니?,혐오
오늘은 보통 여자랑 틀린단 말이예요.,슬픔
틀리기는 이놈아! 너 만나는 여자들이 다 똑같지.,혐오
산에 오니까 공기도 좋고...좋지?,행복
그래? 맛있겠구만,행복
사람이 어쩌면 그렇게 뻔뻔해요.,혐오
여보! 진정좀 해..응?,슬픔
"세월이 얼마예요? 서로 참고 산 세월이 얼마고, 서로 안보고 산 세월이 얼마예요.",혐오
어머님 말씀을 따르는게 아니였어..,슬픔
근데 니 딸 진짜 이쁘더라. 넌 좋겠다,놀람
근데 이 자식이!,분노
왜 화를 내 임마? 난 지금 니 딸 이쁘다고 하는데.,분노
남의 딸 이쁜게 너하고 무슨 상관인데,분노
엄마 아버지 왜 저러세요.?,놀람
낸들 아니...하여간 속을 모르겠는 사람이야,혐오
어우 하여간..무슨 생각을 하고 사는 사람인지...,혐오
난 맨날 먹으니까 별루야,혐오
내가 왜 먼저 죽어요. 당신이 먼저 죽어야지!,분노
내가 내 새끼들 놔두고 내가 왜 죽어! 당신이 먼저 죽어!,분노
그럼 같이 죽어!! 같이 죽어서 같이 가자!,분노
그래도 해보기는 해야 할 거 아냐!,분노
천하에 못된 놈들 같으니라고...쯔쯔쯔..,혐오
그래도 같이 하셔야죠. 어떻게 저만 시키세요,분노
선배는 맨날 말로만 하지 말고 정말로 한 번 쏴보세요. 네?,혐오
요새는 무슨 일인지 한집에 있으면서 눈도 마주 칠려고를 안해요,슬픔
내가 언제 구박했어요,놀람
왜 밤에 전화를 하고 그래요?,놀람
궁금한게 있으니까 전화했죠! 까다로워 정말!,혐오
뭐요?,놀람
니가 아침나절에 전화한 총 통화 시간이야!,분노
그걸 방에서 재고 계셨어요?,놀람
"그럼 뭐하냐? 할 일은 없고, 며느리는 시끄럽고",분노
중요한 통화 였어요.!,분노
그렇게 수다스럽더니 말이 늘었구나!,분노
하루종일 누워 있었던 거야?,놀람
맨날 그저 그렇죠,슬픔
그런데 왜 기자들이 이렇게 하나도 없어요?,놀람
보도국이라고 해서 대단한줄 알았는데 별룬데요.,슬픔
그래도 이놈아 여기서 대한민국 중요한 뉴스는 다 나가,분노
우리가족 어쩌면 좋아요,슬픔
정말 저 한테 너무 하시는 거 아닙니까?,분노
내가 뭐요,놀람
사람이 그렇게 전화를 하는데 무슨 대답이 있어야죠. 나한테 전화 온거 봤어요? 안 봤어요?,분노
제가 꼭 대답해야 되요?,혐오
대체 왜 그러세요!!!,분노
아니...왜 소리는 지르고 그래요,분노
니 안사람은 어떠냐? 괜찮아 졌냐?,공포
아이고 이것아 내가 걱정이 돼서 그래.,공포
내가 걱정을 안 하게 생겼니. 니 성격을 알고 우리 아버님 성격을 아는데 내가 걱정이 안돼!,공포
사실 저도 사돈어른 성격이 좀 걱정되긴 해요.,공포
아이고 이 기집애야!,분노
여보,공포
여보 나도 갈게요. 네?,공포
오늘 국장님 안 나오셨어요?,놀람
휴가요?  무슨 일 있으시데요?,놀람
지가 정리할게 뭐 있어요.,혐오
누가 뭐래요? 그래도 저렇게 문 잠구고 들어가 있을 일은 아니잖아요,혐오
그냥 나둬! 날마다 잡아서 닦달만 하는 게 부모는 아냐,분노
속상해서 그러잖아요.,슬픔
여보 이게 무슨 소리예요.,놀람
너 지금 대체 어디야?,분노
이 엉덩이에 뿔난 망아지 같은 거!,분노
문 좀 열어주세요. 제가 잘 못했습니다,슬픔
넌 이따가 나 좀 따로 봐!,분노
난 안 봐! 내가 널 왜 봐!,혐오
그렇게 나오신다 이거지?,분노
지가 잘못해놓고 왜나한테 화풀이람,혐오
정말 잘 못했습니다. 제가 파리처럼 이렇게 빌께요. 네?,슬픔
에라이 파리만도 못한 놈아 반지 도로 찾아와!,분노
헤질 때 도로 달라고 했어야지!,분노
훔쳐다 준건 괜찮고?,분노
감사했어요 아저씨! 장례식장에서도 다 도와 주시고...끝까지 같이 있어주시고...,슬픔
저희가 언제 그런 걸 해 봤어야죠,슬픔
그리고...언니 장지까지 따라와 주셔서 정말 감사했어요,슬픔
다 저녁때에 어딜 가,혐오
얘!!,분노
어디 갔다 오는 거예요? 여기서 한 시간이나 기다렸잖아요!,분노
저를 왜요?,놀람
무슨 일 있는 것 같은데요?,공포
무...무슨 일인지는 모르지만...이건 좀 놓고...,놀람
나 지금 너무 슬프단 말이예요,슬픔
아무리 그래도...이거는 좀 풀고...하아,놀람
아 나 죽어 버릴거야. 나 진짜 죽어 버릴거야. 아아아,슬픔
야! 임마!,분노
아씨! 왜 그래?,분노
뭐? 아씨? 형한테 아씨? 근데 이게!,분노
나 오늘 무지 예민하거든. 그러니까 건들지마!,분노
넌 또 뭐 임마?,분노
엄연히 남녀가 구별이 있는데 어떻게 그럽니까,혐오
그러니까 왜 애를 만나가지고 상처를 주냔 말이야. 내 말은?,분노
운명? 운명 같은 소리 하고 있네. 동서는 지금 우리 가족들한테 미안하지도 않아!,분노
아무튼 애 어떡할 거야! 오늘도 지방에서 나오지 않고 있는데 동서 애 어떡할 거냐고?,분노
"아이고 어르신. 어서 오십시오, 어쩐 일이세요?",놀람
네? 소고기 두 근요?,놀람
뭐?  ,놀람
와 맛있겠다. 우리 줄거죠?,행복
할아버지는 남잔데 요리를 하세요?,놀람
왜 그렇게 뛰어요.,놀람
제가 접시를 주면 잘 받았어야죠?,혐오
잘 줘야 잘 받죠.,혐오
핸드폰 하다가 떨어뜨린 거잖아요.,분노
전화가 오면 받아야죠. 그럼 안 받아요?,분노
이렇게 하실거면 하지마세요,분노
내가 뭘요?,분노
"사실은 내가 말이예요, 오늘 그쪽을 위해서 준비를 무지 많이 했거든요.",행복
왜요?,놀람
그렇다고 이렇게 깜깜하고 으슥한데까지는 올 필요 없잖아요. 난 좀 무서운데.,공포
완전 버릇 되겠습니다. 술만 먹으면. 네?,혐오
그럼 무겁지 안 무겁습니까?,혐오
여자가 뭐가 무거워요?,분노
하--참나....이거...,분노
참나 뭐요?,분노
내가 뭐라고 했어요?,분노
뭐라고 했잖아요. 아...참나 뭐어... 했..잖..아...요...,분노
목이 좀 찝찝했어 그랬어요. 왜요?,분노
왜 찝찝해요. 쳇!!,분노
그럼 안 찝찝합니까,분노
사람을 그렇게 쥐어 패는 건 아니죠,분노
내참 기가막혀서!,분노
"기가 막힌 건 나예요, 앞으로 좀 조심해 주셨으면 좋겠어요",분노
"이보세요, 내 말이 바로 그 말이예요!",분노
우리한테 무슨 감정이 있어요? 우리가 뭘 잘 못했다고?,분노
갑자기 이렇게 불러내면 어떡해요?,혐오
가만 있어! 내가 저번부터 너한테 이야기 했었잖아!,분노
그래도 이렇게 갑자기 불러내는 건 아니죠?,혐오
너 어떻게 된거야 ? 왜 이제 전화해,분노
니가 전화 안받았지 내가 안 했냐,혐오
어떻게 된거야!,분노
일단 엄마한테 말하지마,공포
여기는 어떻게...,놀람
왜 그랬어요? 조심 좀 하시죠.,슬픔
그래도요. 이게 뭐예요. 이렇게 다쳐 가지고,슬픔
빨리 앉아봐. 진짜 엄청난 일이 있었다니까아-,분노
아- 왜 그래,혐오
형은 이 엄청난 날에 대체 어디 갔다 온거야?,분노
약사협회 총회라 갔다 왔다 왜?,혐오
아-빨리 앉아 보라고!!!,분노
너 다 저녁때 제비같이 쫘-악 빼입고 어디가냐?,혐오
말을 해도 꼬옥!,분노
아니 밥 차려 놨는데 어딜 가아!,분노
아 있어요,분노
정말 이런 식으로 할겁니까? 지금이 몇신데 이제 와요?,분노
아무리 일이 있어도 그렇지,분노
아 죄송하다구요,분노
그러니까 인석아 왜 물불 안 가리고 미친놈처럼 나서,슬픔
어머니한테 맞는 게 더 아퍼요!,혐오
"전쟁나면 전쟁터도 나가겠다, 이 정신 없는 녀석아!",슬픔
뭐얏!,분노
그냥 단도직입적으로  말하자. 왜 ! 그 남자를 만나러 갔니?,분노
문병을 왜 가니? 니가?,분노
저기...그게...,공포
너 그 남자 좋아해?,분노
아...아뇨...좋아한다기보다는......,공포
아! 당신 지금 뭐 하냐구욧!,분노
아우 깜짝이야.  어이구야! 당신 언제 들어왔어.,놀람
언제 들어오기는요!  두눈에 넘쳐 흐르는 뜨거운 나의 눈물로--할때 들어왔죠!,분노
당신은 지금 노래가 나와요?,분노
애비라는 사람이 노래가 나오냐구요?,분노
아무튼 난 사귀는 것도 반대고 결혼도 반대고 무조건 다 반대야. 안돼!,분노
그렇게 미리 지레 짐작하지 말고...사람..참.,혐오
속편한 소리하고 있으시네,분노
어떻게...이게 얼마 만이죠,놀람
근데..어떻게 하나도 안 변하셨네요?,놀람
너는 여기 왜 왔냐?,혐오
안 잘라도 되겠구만 뭔 머리를 자르러 와!,혐오
그래도 내가 명색이 보도국장인데 깔끔하게 하고 다녀야지 자식은!,분노
핑계도 가지가지예요,혐오
그러는 너는,분노
